SN,Movie,Worldwide (In Cr),India Net (In Cr),India Gross (In Cr),Overseas (In Cr),Budget ( In Cr),Verdict,Genre,Movie Rating
242,Marjaavaan,₹ 62.00,₹ 48.00,₹ 55.00,₹ 6.00,₹ 50.00,Average,"Action, Crime, Drama",8.1
243,Murder 2,₹ 67.00,₹ 47.00,₹ 64.00,₹ 3.00,₹ 13.00,SuperHit,"Animation, Adventure, Comedy",8.1
244,Himmatwala,₹ 65.00,₹ 47.00,₹ 64.00,₹ 1.00,₹ 68.00,Flop,"Biography, Crime, Drama",8.1
245,Mardaani 2,₹ 67.00,₹ 47.00,₹ 57.00,₹ 10.00,₹ 30.00,Hit,"Drama, Thriller",8.1
246,Heyy Babyy,₹ 83.00,₹ 47.00,₹ 63.00,₹ 20.00,₹ 30.00,Hit,"Animation, Adventure, Comedy",8.1
247,Kambakkht Ishq,₹ 85.00,₹ 47.00,₹ 63.00,₹ 22.00,₹ 50.00,Average,"Animation, Action, Drama",8.1
248,Koi... Mil Gaya,₹ 80.00,₹ 46.00,₹ 70.00,₹ 9.00,₹ 28.00,SuperHit,"Adventure, Drama, Musical",8.1
249,Kuch Kuch Hota Hai,₹ 91.00,₹ 46.00,₹ 63.00,₹ 27.00,₹ 14.00,All Time Blockbuster,"Drama, Mystery, Thriller",8.1
250,Ragini MMS 2,₹ 62.00,₹ 46.00,₹ 61.00,₹ 0.00,₹ 18.00,Hit,"Drama, Music, Romance",8.1
251,Thank You,₹ 72.00,₹ 46.00,₹ 62.00,₹ 9.00,₹ 60.00,Flop,"Comedy, Drama",8.1
252,Shuddh Desi Romance,₹ 75.00,₹ 46.00,₹ 62.00,₹ 12.00,₹ 25.00,Hit,"Comedy, Crime, Romance",8.1
253,Hichki,₹ 236.00,₹ 45.00,₹ 59.00,₹ 177.00,₹ 20.00,Hit,"Comedy, Crime, Sport",8.1
254,October,₹ 67.00,₹ 45.00,₹ 59.00,₹ 8.00,₹ 40.00,Hit,"Drama, Romance",8.1
255,Veer,₹ 65.00,₹ 45.00,₹ 61.00,₹ 4.00,₹ 55.00,Below Average,Drama,8.1
256,Ishaqzaade,₹ 61.00,₹ 45.00,₹ 61.00,₹ 0.00,₹ 16.00,Hit,"Crime, Drama, Thriller",8.1
257,Guru,₹ 82.00,₹ 45.00,₹ 61.00,₹ 21.00,₹ 22.00,Hit,"Comedy, Drama, War",8.1
258,New York,₹ 75.00,₹ 45.00,₹ 58.00,₹ 16.00,₹ 22.00,SuperHit,"Crime, Drama",8.1
259,Kyaa Super Kool Hai Hum,₹ 64.00,₹ 44.00,₹ 60.00,₹ 3.00,₹ 19.00,Hit,"Drama, Romance",8.1
260,Kabhi Alvida Naa Kehna,₹ 111.00,₹ 44.00,₹ 60.00,₹ 50.00,₹ 45.00,Average,"Drama, Romance",8.1
261,No Entry,₹ 73.00,₹ 44.00,₹ 62.00,₹ 10.00,₹ 22.00,SuperHit,"Drama, Mystery, Romance",8.1
262,Roy,₹ 56.00,₹ 44.00,₹ 52.00,₹ 3.00,₹ 50.00,Flop,"Comedy, Crime, Drama",8.1
263,K.G.F : Chapter 1,₹ 237.00,₹ 44.00,₹ 227.00,₹ 10.00,₹ 80.00,Blockbuster,"Action, Adventure, ",8.1
264,ABCD: Any Body Can Dance,₹ 61.00,₹ 44.00,₹ 57.00,₹ 3.00,₹ 20.00,Hit,"Biography, Crime, Drama",8.1
265,Dostana,₹ 81.00,₹ 44.00,₹ 59.00,₹ 22.00,₹ 40.00,Average,"Drama, Music, Romance",8.1
