SN,Movie,Worldwide (In Cr),India Net (In Cr),India Gross (In Cr),Overseas (In Cr),Budget ( In Cr),Verdict,Genre,Movie Rating
386,Garam Masala,₹ 54.00,₹ 29.00,₹ 39.00,₹ 15.00,₹ 17.00,Hit,"Biography, Drama",8
387,Lootera,₹ 46.00,₹ 29.00,₹ 39.00,₹ 7.00,₹ 30.00,Flop,"Animation, Crime, Mystery",8
388,Dil Toh Baccha Hai Ji,₹ 40.00,₹ 28.00,₹ 39.00,₹ 1.00,₹ 27.00,Below Average,Drama,8
389,Ferrari Ki Sawaari,₹ 44.00,₹ 28.00,₹ 37.00,₹ 6.00,₹ 15.00,Hit,Drama,8
390,Happy Bhaag Jayegi,₹ 46.00,₹ 28.00,₹ 40.00,₹ 6.00,₹ 20.00,Hit,"Animation, Action, Adventure",8
391,Akira,₹ 43.00,₹ 28.00,₹ 38.00,₹ 5.00,₹ 30.00,Flop,"Action, Crime, Comedy",8
392,Pari,₹ 39.00,₹ 28.00,₹ 36.00,₹ 2.00,₹ 30.00,Above Average,Drama,8
393,Players,₹ 47.00,₹ 28.00,₹ 38.00,₹ 8.00,₹ 55.00,Disaster,"Comedy, Drama",8
394,London Dreams,₹ 45.00,₹ 28.00,₹ 38.00,₹ 6.00,₹ 45.00,Flop,"Mystery, , Thriller",8
395,PM Narendra Modi,₹ 35.00,₹ 28.00,₹ 33.00,₹ 1.00,₹ 20.00,Above Average,"Animation, Action, Crime",8
396,Doctor Strange In The Multiverse Of Madness,"₹ 5,400.00",₹ 28.00,₹ 147.00,"₹ 3,100.00","₹ 1,500.00",Average,"Animation, Family, Fantasy",8
397,Ishqiya,₹ 39.00,₹ 28.00,₹ 38.00,₹ 1.00,₹ 18.00,Hit,"Comedy, Fantasy, Romance",8
398,Baazaar,₹ 40.00,₹ 28.00,₹ 36.00,₹ 4.00,₹ 35.00,Below Average,"Crime, Drama",8
399,Kyaa Kool Hain Hum 3,₹ 38.00,₹ 28.00,₹ 36.00,₹ 1.00,₹ 25.00,Average,Drama,8
400,Doctor G,₹ 44.00,₹ 27.00,₹ 33.00,₹ 11.00,₹ 25.00,flop,"Animation, Adventure, Comedy",8
401,No Problem,₹ 44.00,₹ 27.00,₹ 37.00,₹ 6.00,₹ 35.00,Flop,"Drama, History, Thriller",8
402,Manmarziyaan,₹ 41.00,₹ 27.00,₹ 35.00,₹ 6.00,₹ 30.00,Flop,"Animation, Family, Fantasy",8
403,Wake Up Sid,₹ 47.00,₹ 27.00,₹ 36.00,₹ 11.00,₹ 18.00,Hit,"Adventure, Drama, Western",8
404,No One Killed Jessica,₹ 43.00,₹ 27.00,₹ 37.00,₹ 6.00,₹ 15.00,Hit,"Comedy, Drama",8
405,Mangal Pandey: The Rising,₹ 51.00,₹ 27.00,₹ 37.00,₹ 13.00,₹ 34.00,Flop,Drama,8
406,Sanam Re,₹ 39.00,₹ 27.00,₹ 37.00,₹ 1.00,₹ 25.00,Average,"Animation, Action, ",8
407,Panga,₹ 40.00,₹ 27.00,₹ 32.00,₹ 8.00,₹ 49.00,Flop,"Adventure, Family, Fantasy",8
408,Dedh Ishqiya,₹ 43.00,₹ 27.00,₹ 36.00,₹ 6.00,₹ 35.00,Flop,"Drama, Fantasy, Romance",8
409,Sarbjit,₹ 41.00,₹ 27.00,₹ 36.00,₹ 4.00,₹ 30.00,Flop,"Drama, War",8
410,Force,₹ 40.00,₹ 27.00,₹ 36.00,₹ 3.00,₹ 28.00,Flop,"Animation, Adventure, Drama",8
411,Jawaani Jaaneman,₹ 42.00,₹ 27.00,₹ 32.00,₹ 9.00,₹ 40.00,flop,"Action, ",8
412,Jhoom Barabar Jhoom,₹ 48.00,₹ 27.00,₹ 36.00,₹ 11.00,₹ 25.00,Below Average,"Biography, Drama, History",8
413,Hate Story 2,₹ 36.00,₹ 26.00,₹ 36.00,₹ 0.00,₹ 15.00,Above Average,"Drama, History, War",8
414,Detective Byomkesh Bakshy,₹ 43.00,₹ 26.00,₹ 36.00,₹ 7.00,₹ 35.00,Flop,"Comedy, Drama",8
415,Tadap,₹ 33.00,₹ 26.00,₹ 30.00,₹ 2.00,₹ 20.00,flop,"Comedy, Romance",8
416,Malamaal Weekly,₹ 41.00,₹ 26.00,₹ 36.00,₹ 5.00,₹ 6.00,SuperHit,"Adventure, Thriller",8
417,Raja Natwarlal,₹ 44.00,₹ 26.00,₹ 35.00,₹ 8.00,₹ 45.00,Disaster,"Biography, Crime, Drama",8
418,Singh Saab The Great,₹ 38.00,₹ 26.00,₹ 35.00,₹ 2.00,₹ 35.00,Flop,Comedy,8
419,Ek Paheli Leela,₹ 36.00,₹ 26.00,₹ 35.00,₹ 0.00,₹ 20.00,Average,"Biography, Crime, Drama",8
420,Fashion,₹ 38.00,₹ 26.00,₹ 35.00,₹ 3.00,₹ 18.00,Above Average,Horror,8
421,The Hero: Love Story of a Spy,₹ 44.00,₹ 26.00,₹ 40.00,₹ 3.00,₹ 33.00,Below Average,"Mystery, Thriller",8
422,Salaam Namaste,₹ 55.00,₹ 26.00,₹ 35.00,₹ 20.00,₹ 10.00,Hit,"Drama, Romance",8
423,Khakee,₹ 45.00,₹ 25.00,₹ 34.00,₹ 10.00,₹ 26.00,Average,"Drama, Family, Musical",8
424,Karan Arjun,₹ 36.00,₹ 25.00,₹ 34.00,₹ 2.00,₹ 6.00,Blockbuster,Drama,8
425,Karthik Calling Karthik,₹ 38.00,₹ 25.00,₹ 34.00,₹ 3.00,₹ 20.00,Below Average,"Biography, Crime, Drama",8
426,Raabta,₹ 39.00,₹ 25.00,₹ 35.00,₹ 3.00,₹ 45.00,Flop,"Drama, Horror",8
427,Dhobi Ghat,₹ 0.00,₹ 25.00,₹ 0.00,₹ 0.00,₹ 1.00,flop,"Adventure, ",8
428,Biwi No.1,₹ 49.00,₹ 25.00,₹ 43.00,₹ 6.00,₹ 12.00,SuperHit,"Comedy, Drama, Romance",8
429,Maine Pyaar Kyun Kiya?,₹ 45.00,₹ 25.00,₹ 35.00,₹ 10.00,₹ 15.00,Above Average,Drama,8
430,Ek Thi Daayan,₹ 40.00,₹ 25.00,₹ 34.00,₹ 5.00,₹ 24.00,Below Average,"Biography, Drama, Family",8
431,Teri Meri Kahaani,₹ 51.00,₹ 25.00,₹ 34.00,₹ 17.00,₹ 35.00,Flop,"Drama, Romance, War",8
432,Haunted 3D 2011,₹ 34.00,₹ 25.00,₹ 34.00,₹ 0.00,₹ 13.00,Hit,"Action, Drama, Western",8
433,F.A.L.T.U,₹ 34.00,₹ 25.00,₹ 34.00,₹ 0.00,₹ 18.00,Average,Drama,8
434,Raaz-The Mystery Continues 2009,₹ 36.00,₹ 25.00,₹ 32.00,₹ 3.00,₹ 15.00,Hit,Drama,8
435,Daawat-E-Ishq,₹ 34.00,₹ 25.00,₹ 34.00,₹ 0.00,₹ 30.00,Flop,"Drama, Sport",8
436,Jazbaa,₹ 42.00,₹ 25.00,₹ 34.00,₹ 8.00,₹ 28.00,Flop,"Comedy, Drama",8
437,Rock On!!,₹ 35.00,₹ 25.00,₹ 33.00,₹ 1.00,₹ 16.00,Hit,"Action, Drama, Western",8
438,Commando 2,₹ 39.00,₹ 25.00,₹ 33.00,₹ 5.00,₹ 26.00,Flop,"Crime, Drama, Mystery",8
439,Rocky Handsome,₹ 35.00,₹ 25.00,₹ 33.00,₹ 1.00,₹ 40.00,Flop,"Crime, Drama, Film-Noir",8
440,Gangs of Wasseypur,₹ 33.00,₹ 25.00,₹ 33.00,₹ 0.00,₹ 20.00,Average,Drama,8
441,Go Goa Gone,₹ 38.00,₹ 24.00,₹ 33.00,₹ 4.00,₹ 19.00,Flop,"Drama, Film-Noir",8
442,Jaan-E-Mann,₹ 45.00,₹ 24.00,₹ 33.00,₹ 12.00,₹ 25.00,Below Average,"Crime, Drama, Film-Noir",8
443,Ishq,₹ 45.00,₹ 24.00,₹ 42.00,₹ 2.00,₹ 11.00,SuperHit,"Crime, Drama, Film-Noir",8
444,Junglee,₹ 32.00,₹ 24.00,₹ 29.00,₹ 3.00,₹ 50.00,Flop,Drama,8
445,Hum Dil De Chuke Sanam,₹ 51.00,₹ 24.00,₹ 33.00,₹ 17.00,₹ 16.00,Hit,"Crime, Drama, Horror",8
446,Sarkar,₹ 38.00,₹ 24.00,₹ 33.00,₹ 4.00,₹ 13.00,Above Average,"Comedy, Drama, War",8
447,Katti Batti,₹ 42.00,₹ 24.00,₹ 33.00,₹ 9.00,₹ 30.00,Flop,"Comedy, Romance",8
448,Mr. X,₹ 37.00,₹ 24.00,₹ 33.00,₹ 3.00,₹ 35.00,Flop,Drama,8
449,Khoobsurat,₹ 53.00,₹ 24.00,₹ 33.00,₹ 20.00,₹ 18.00,Average,"Drama, Film-Noir, Mystery",8
450,Indian,₹ 41.00,₹ 24.00,₹ 40.00,₹ 1.00,₹ 13.00,Hit,"Comedy, Crime",8
451,Enthiran,₹ 291.00,₹ 24.00,₹ 216.00,₹ 75.00,₹ 132.00,All Time Blockbuster,"Crime, Drama, Mystery",8
452,D Day,₹ 39.00,₹ 23.00,₹ 32.00,₹ 7.00,₹ 26.00,Flop,"Crime, Drama, Film-Noir",8
453,Bombay Velvet,₹ 43.00,₹ 23.00,₹ 31.00,₹ 11.00,₹ 115.00,Disaster,"Drama, Romance",8
454,Saand Ki Aankh,₹ 31.00,₹ 23.00,₹ 28.00,₹ 3.00,₹ 20.00,Above Average,"Drama, Film-Noir, Mystery",8
455,Bhoothnath,₹ 37.00,₹ 23.00,₹ 31.00,₹ 5.00,₹ 20.00,Average,"Drama, Romance, War",8
456,OK Jaanu,₹ 39.00,₹ 23.00,₹ 32.00,₹ 6.00,₹ 27.00,Flop,"Comedy, Crime, Thriller",8
457,Lakshya,₹ 40.00,₹ 23.00,₹ 32.00,₹ 7.00,₹ 30.00,Flop,"Film-Noir, Mystery",8
458,Dil Bole Hadippa!,₹ 43.00,₹ 23.00,₹ 31.00,₹ 11.00,₹ 25.00,Flop,"Drama, History",8
459,Thackeray,₹ 50.00,₹ 23.00,₹ 46.00,₹ 4.00,₹ 40.00,Above Average,"Adventure, Family, Fantasy",8
460,Dus,₹ 37.00,₹ 23.00,₹ 31.00,₹ 6.00,₹ 21.00,Average,"Comedy, Drama",8
461,Omkara,₹ 41.00,₹ 23.00,₹ 31.00,₹ 10.00,₹ 25.00,Flop,"Comedy, Crime, Mystery",8
462,Black,₹ 39.00,₹ 23.00,₹ 32.00,₹ 7.00,₹ 20.00,Average,"Drama, War",8
463,Munna Bhai M.B.B.S.,₹ 34.00,₹ 22.00,₹ 31.00,₹ 3.00,₹ 10.00,Hit,"Drama, History, Thriller",8
464,Ponniyin Selvan - Part 1,₹ 488.00,₹ 22.00,₹ 313.00,₹ 175.00,₹ 250.00,All Time Blockbuster,"Comedy, Crime, Drama",7.9
465,36 China Town,₹ 36.00,₹ 22.00,₹ 30.00,₹ 5.00,₹ 18.00,Above Average,"Comedy, Drama, Romance",7.9
466,Mission Kashmir,₹ 42.00,₹ 22.00,₹ 37.00,₹ 4.00,₹ 20.00,Average,"Crime, Drama",7.9
467,Salaam-e-Ishq: A Tribute to Love,₹ 51.00,₹ 22.00,₹ 31.00,₹ 20.00,₹ 35.00,Disaster,"Comedy, Drama, Romance",7.9
468,Pardes,₹ 40.00,₹ 22.00,₹ 34.00,₹ 6.00,₹ 8.00,SuperHit,"Drama, Romance",7.9
469,Billu,₹ 46.00,₹ 22.00,₹ 29.00,₹ 16.00,₹ 24.00,Below Average,Drama,7.9
470,Kismat Konnection,₹ 37.00,₹ 22.00,₹ 30.00,₹ 7.00,₹ 25.00,Flop,"Animation, Adventure, Comedy",7.9
471,1920 - Evil Returns,₹ 30.00,₹ 22.00,₹ 30.00,₹ 0.00,₹ 8.00,Above Average,"Adventure, Comedy, Drama",7.9
472,Mere Baap Pehle Aap,₹ 35.00,₹ 22.00,₹ 30.00,₹ 5.00,₹ 18.00,Below Average,"Comedy, Drama",7.9
473,Joker,₹ 32.00,₹ 22.00,₹ 30.00,₹ 1.00,₹ 47.00,Disaster,"Comedy, Drama, Music",7.9
474,Murder 3,₹ 33.00,₹ 22.00,₹ 30.00,₹ 2.00,₹ 15.00,Below Average,"Action, Adventure, Comedy",7.9
475,Ek Ladki Ko Dekha Toh Aisa Laga,₹ 44.00,₹ 22.00,₹ 26.00,₹ 18.00,₹ 50.00,Flop,"Crime, Drama, Thriller",7.9
476,Mrs Chatterjee Vs Norway,₹ 37.00,₹ 22.00,₹ 26.00,₹ 11.00,₹ 20.00,Hit,"Comedy, Drama, War",7.9
477,Chandigarh Kare Aashiqui,₹ 30.00,₹ 22.00,₹ 24.00,₹ 5.00,₹ 40.00,flop,"Drama, ",7.9
478,Saawariya,₹ 39.00,₹ 22.00,₹ 27.00,₹ 12.00,₹ 45.00,Disaster,"Action, Adventure, ",7.9
479,Shamitabh,₹ 37.00,₹ 22.00,₹ 30.00,₹ 7.00,₹ 40.00,Disaster,"Drama, Romance",7.9
480,Hate Story 4,₹ 31.00,₹ 22.00,₹ 29.00,₹ 2.00,₹ 15.00,Hit,"Action, Adventure, ",7.9
481,Taal,₹ 50.00,₹ 22.00,₹ 34.00,₹ 15.00,₹ 15.00,Hit,"Crime, Drama",7.9
482,Aurangzeb,₹ 34.00,₹ 22.00,₹ 29.00,₹ 5.00,₹ 22.00,Flop,"Comedy, Drama, Romance",7.9
483,Rocketry: The Nambi Effect,₹ 45.00,₹ 22.00,₹ 40.00,₹ 5.00,₹ 1.00,flop,"Action, Adventure, ",7.9
484,Happy Phirr Bhag Jayegi,₹ 31.00,₹ 21.00,₹ 28.00,₹ 3.00,₹ 30.00,Flop,"Drama, Romance",7.9
485,Roohi,₹ 28.00,₹ 21.00,₹ 25.00,₹ 3.00,₹ 25.00,Average,"Biography, Crime, Drama",7.9
486,Apne,₹ 38.00,₹ 21.00,₹ 29.00,₹ 9.00,₹ 18.00,Average,"Crime, Drama",7.9
487,Black Adam,"₹ 2,985.00",₹ 21.00,₹ 57.00,"₹ 2,927.00","₹ 1,500.00",flop,"Drama, Mystery, ",7.9
488,Jurassic World: Dominion,"₹ 4,000.00",₹ 21.00,₹ 74.00,"₹ 2,700.00",₹ 1.00,flop,"Crime, Drama, Fantasy",7.9
489,Gangs Of Wasseypur 2,₹ 31.00,₹ 21.00,₹ 29.00,₹ 2.00,₹ 18.00,Flop,"Action, , Thriller",7.9
490,"Saheb, Biwi Aur Gangster Returns",₹ 29.00,₹ 21.00,₹ 29.00,₹ 0.00,₹ 19.00,Below Average,"Drama, Sport",7.9
491,Black Panther: Wakanda Forever,"₹ 6,634.00",₹ 21.00,₹ 87.00,"₹ 6,546.00","₹ 1,250.00",Hit,"Comedy, Drama, Romance",7.9
492,Nautanki Saala,₹ 32.00,₹ 21.00,₹ 29.00,₹ 3.00,₹ 15.00,Average,Drama,7.9
493,Pyaar To Hona Hi Tha,₹ 31.00,₹ 21.00,₹ 29.00,₹ 1.00,₹ 7.00,SuperHit,Drama,7.9
494,Heropanti 2,₹ 28.00,₹ 21.00,₹ 25.00,₹ 2.00,₹ 80.00,Disaster,"Action, Adventure, ",7.9
495,Hum Tum,₹ 41.00,₹ 21.00,₹ 30.00,₹ 11.00,₹ 8.00,Hit,"Comedy, Crime, Drama",7.9
496,Raaz,₹ 35.00,₹ 21.00,₹ 34.00,₹ 0.00,₹ 5.00,Blockbuster,"Drama, Fantasy, Mystery",7.9
497,Soldier,₹ 37.00,₹ 21.00,₹ 35.00,₹ 2.00,₹ 8.00,SuperHit,"Action, Adventure, Drama",7.9
498,Commando-A One Man Army,₹ 28.00,₹ 21.00,₹ 28.00,₹ 0.00,₹ 17.00,Average,"Adventure, Drama, Fantasy",7.9
499,Mulk,₹ 30.00,₹ 20.00,₹ 27.00,₹ 3.00,₹ 18.00,Above Average,"Adventure, Drama, Fantasy",7.9
500,Baghban,₹ 43.00,₹ 20.00,₹ 28.00,₹ 14.00,₹ 12.00,Hit,"Animation, Adventure, Comedy",7.9
501,Luck,₹ 33.00,₹ 20.00,₹ 28.00,₹ 5.00,₹ 35.00,Flop,"Comedy, Drama",7.9
502,Rangoon,₹ 39.00,₹ 20.00,₹ 28.00,₹ 11.00,₹ 60.00,Disaster,"Drama, Music",7.9
503,U Me Aur Hum,₹ 39.00,₹ 20.00,₹ 27.00,₹ 11.00,₹ 25.00,Flop,"Action, Adventure, ",7.9
504,A Gentleman,₹ 38.00,₹ 20.00,₹ 28.00,₹ 9.00,₹ 65.00,Disaster,"Comedy, Horror",7.9
505,Newton,₹ 28.00,₹ 20.00,₹ 28.00,₹ 0.00,₹ 15.00,Average,"Drama, Romance",7.9
506,Jersey,₹ 26.00,₹ 20.00,₹ 22.00,₹ 3.00,₹ 60.00,Disaster,"Crime, Drama, Mystery",7.9
507,Life Partner,₹ 32.00,₹ 20.00,₹ 27.00,₹ 4.00,₹ 19.00,Below Average,"Adventure, Family, Fantasy",7.9
508,Blackmail,₹ 30.00,₹ 20.00,₹ 27.00,₹ 3.00,₹ 20.00,Above Average,"Action, Adventure, History",7.9
509,Rangeela,₹ 33.00,₹ 20.00,₹ 32.00,₹ 0.00,₹ 5.00,Blockbuster,"Drama, Mystery, Romance",7.9
510,Karwaan,₹ 29.00,₹ 20.00,₹ 26.00,₹ 3.00,₹ 20.00,Average,"Comedy, Drama, War",7.9
511,The Ghazi Attack,₹ 34.00,₹ 20.00,₹ 27.00,₹ 7.00,₹ 16.00,Average,"Animation, Action, Crime",7.9
512,Dil Chahta Hai,₹ 38.00,₹ 20.00,₹ 32.00,₹ 6.00,₹ 13.00,Above Average,"Action, Mystery, Thriller",7.9
513,Rocket Singh: Salesman of the Year,₹ 33.00,₹ 20.00,₹ 26.00,₹ 7.00,₹ 16.00,Above Average,"Crime, Drama, Thriller",7.9
514,Kaante,₹ 41.00,₹ 20.00,₹ 32.00,₹ 9.00,₹ 28.00,Below Average,"Adventure, Drama, ",7.9
515,Masti,₹ 34.00,₹ 20.00,₹ 27.00,₹ 6.00,₹ 10.00,Hit,"Adventure, Comedy, Drama",7.9
516,Waqt: The Race Against Time,₹ 42.00,₹ 20.00,₹ 29.00,₹ 13.00,₹ 16.00,Average,"Drama, Mystery, Thriller",7.9
517,The Accidental Prime Minister,₹ 26.00,₹ 20.00,₹ 24.00,₹ 2.00,₹ 25.00,Flop,"Animation, Adventure, Comedy",7.9
518,The Sky Is Pink,₹ 28.00,₹ 20.00,₹ 23.00,₹ 5.00,₹ 24.00,Flop,Drama,7.9
519,Kidnap,₹ 33.00,₹ 20.00,₹ 27.00,₹ 6.00,₹ 27.00,Flop,"Animation, Drama, Family",7.9
520,Raja,₹ 33.00,₹ 20.00,₹ 32.00,₹ 1.00,₹ 4.00,Blockbuster,"Crime, Drama",7.9
521,The Lunchbox,₹ 100.00,₹ 20.00,₹ 27.00,₹ 73.00,₹ 22.00,Average,"Crime, Drama, Romance",7.9
522,Sunday,₹ 31.00,₹ 20.00,₹ 27.00,₹ 4.00,₹ 20.00,Below Average,"Drama, Music, Mystery",7.9
523,Hulchul,₹ 31.00,₹ 20.00,₹ 28.00,₹ 3.00,₹ 10.00,Hit,"Animation, Action, Adventure",7.9
524,Tere Naal Love Ho Gaya,₹ 31.00,₹ 19.00,₹ 26.00,₹ 4.00,₹ 13.00,Average,"Crime, Drama, Thriller",7.9
525,Badhaai Do,₹ 23.00,₹ 19.00,₹ 20.00,₹ 3.00,₹ 30.00,Disaster,"Drama, Fantasy, Romance",7.9
526,Taxi No. 9211,₹ 31.00,₹ 19.00,₹ 26.00,₹ 5.00,₹ 10.00,Above Average,"Biography, Drama",7.9
527,Krazzy 4,₹ 31.00,₹ 19.00,₹ 26.00,₹ 5.00,₹ 16.00,Average,"Comedy, Drama",7.9
528,Chance Pe Dance,₹ 29.00,₹ 19.00,₹ 26.00,₹ 3.00,₹ 26.00,Flop,"Crime, Drama, Thriller",7.9
529,Agni Sakshi,₹ 31.00,₹ 19.00,₹ 30.00,₹ 0.00,₹ 4.00,Blockbuster,"Comedy, Drama",7.9
530,Radhe Shyam,₹ 144.00,₹ 19.00,₹ 117.00,₹ 26.00,₹ 350.00,Disaster,"Drama, ",7.9
531,Ungli,₹ 29.00,₹ 19.00,₹ 26.00,₹ 3.00,₹ 35.00,Disaster,"Comedy, Music",7.9
532,Fitoor,₹ 39.00,₹ 19.00,₹ 26.00,₹ 13.00,₹ 70.00,Disaster,"Comedy, Family",7.9
533,Chalte Chalte,₹ 40.00,₹ 19.00,₹ 26.00,₹ 14.00,₹ 11.00,Hit,"Action, Adventure, Comedy",7.9
534,Alone,₹ 29.00,₹ 19.00,₹ 25.00,₹ 3.00,₹ 18.00,Below Average,"Comedy, Drama, Romance",7.9
535,Lipstick Under My Burkha,₹ 26.00,₹ 19.00,₹ 25.00,₹ 0.00,₹ 6.00,Hit,"Drama, Music, Musical",7.9
536,Te3n,₹ 33.00,₹ 19.00,₹ 25.00,₹ 8.00,₹ 34.00,Flop,"Action, Adventure, Horror",7.9
537,Dolly Ki Doli,₹ 28.00,₹ 19.00,₹ 25.00,₹ 2.00,₹ 18.00,Below Average,"Biography, Drama, History",7.9
538,Bade Miyan Chote Miyan,₹ 35.00,₹ 19.00,₹ 32.00,₹ 2.00,₹ 10.00,Hit,"Adventure, Drama, Fantasy",7.9
539,Barsaat,₹ 33.00,₹ 19.00,₹ 32.00,₹ 1.00,₹ 8.00,SuperHit,"Comedy, Drama, Family",7.9
540,Kaal,₹ 32.00,₹ 18.00,₹ 25.00,₹ 6.00,₹ 11.00,Average,Comedy,7.9
541,Dulhan Hum Le Jayenge,₹ 36.00,₹ 18.00,₹ 31.00,₹ 5.00,₹ 11.00,Hit,"Action, Adventure, Biography",7.9
542,Jabariya Jodi,₹ 25.00,₹ 18.00,₹ 22.00,₹ 3.00,₹ 30.00,Flop,"Comedy, Drama, Romance",7.9
543,Hum Kisise Kum Nahin,₹ 29.00,₹ 18.00,₹ 26.00,₹ 2.00,₹ 18.00,Below Average,"Biography, Drama, War",7.9
544,Sarfarosh,₹ 29.00,₹ 18.00,₹ 25.00,₹ 4.00,₹ 8.00,Hit,"Action, Adventure, Western",7.9
545,Jodi No.1,₹ 34.00,₹ 18.00,₹ 31.00,₹ 2.00,₹ 10.00,Hit,"Horror, Thriller",7.9
546,Liger,₹ 56.00,₹ 18.00,₹ 48.00,₹ 7.00,₹ 125.00,Disaster,"Biography, Drama, History",7.9
547,Chori Chori Chupke Chupke,₹ 37.00,₹ 18.00,₹ 31.00,₹ 6.00,₹ 10.00,Hit,"Crime, Drama, Mystery",7.9
548,Madaari,₹ 28.00,₹ 18.00,₹ 24.00,₹ 4.00,₹ 20.00,Flop,"Comedy, Mystery, Romance",7.9
549,Ziddi,₹ 32.00,₹ 18.00,₹ 31.00,₹ 0.00,₹ 7.00,SuperHit,"Drama, Thriller",7.9
550,Bluffmaster!,₹ 31.00,₹ 18.00,₹ 24.00,₹ 7.00,₹ 8.00,Above Average,"Adventure, Biography, Drama",7.9
551,Gupt: The Hidden Truth,₹ 33.00,₹ 18.00,₹ 31.00,₹ 1.00,₹ 9.00,Hit,"Drama, Mystery",7.9
552,Pyaar Kiya To Darna Kya,₹ 33.00,₹ 18.00,₹ 25.00,₹ 8.00,₹ 8.00,SuperHit,"Drama, Romance",7.9
553,Jayeshbhai Jordaar,₹ 17.00,₹ 17.00,₹ 21.00,₹ 3.00,₹ 1.00,Disaster,"Adventure, Drama",7.9
554,Begum Jaan,₹ 0.00,₹ 17.00,₹ 0.00,₹ 0.00,₹ 1.00,flop,"Adventure, Drama, Western",7.9
555,Josh,₹ 34.00,₹ 17.00,₹ 28.00,₹ 5.00,₹ 15.00,Average,Drama,7.9
556,Fool n Final,₹ 27.00,₹ 17.00,₹ 23.00,₹ 3.00,₹ 23.00,Flop,"Drama, Thriller, Western",7.9
557,Main Prem Ki Diwani Hoon,₹ 38.00,₹ 17.00,₹ 27.00,₹ 11.00,₹ 21.00,Flop,"Crime, Film-Noir, Thriller",7.9
558,Creature,₹ 25.00,₹ 17.00,₹ 23.00,₹ 1.00,₹ 25.00,Flop,"Comedy, Drama, Fantasy",7.9
559,Break Ke Baad,₹ 29.00,₹ 17.00,₹ 23.00,₹ 5.00,₹ 19.00,Flop,"Comedy, Drama, Family",7.9
560,Aankhen,₹ 29.00,₹ 17.00,₹ 23.00,₹ 5.00,₹ 15.00,Average,"Drama, Film-Noir, Romance",7.9
561,7 Khoon Maaf,₹ 27.00,₹ 17.00,₹ 23.00,₹ 3.00,₹ 21.00,Flop,"Crime, Film-Noir, Mystery",7.9
562,Qayamat: City Under Threat,₹ 28.00,₹ 17.00,₹ 23.00,₹ 4.00,₹ 16.00,Average,"Drama, Film-Noir",7.9
563,Attack - Part 1,₹ 22.00,₹ 17.00,₹ 18.00,₹ 3.00,₹ 55.00,Flop,"Comedy, Romance",7.9
564,Laaga Chunari Mein Daag,₹ 35.00,₹ 17.00,₹ 23.00,₹ 12.00,₹ 15.00,Below Average,"Comedy, Drama, Romance",7.9
565,Simran,₹ 27.00,₹ 17.00,₹ 23.00,₹ 3.00,₹ 1.00,flop,"Action, Adventure, Romance",7.9
566,Baabul,₹ 38.00,₹ 17.00,₹ 23.00,₹ 15.00,₹ 22.00,Flop,"Comedy, Music, Musical",7.9
567,Mujhe Kucch Kehna Hai,₹ 29.00,₹ 17.00,₹ 28.00,₹ 1.00,₹ 7.00,SuperHit,"Adventure, Horror, ",7.9
568,Cheeni Kum,₹ 31.00,₹ 17.00,₹ 23.00,₹ 8.00,₹ 11.00,Above Average,"Drama, Horror",7.9
569,Band Baaja Baaraat,₹ 30.00,₹ 17.00,₹ 23.00,₹ 6.00,₹ 13.00,Average,"Fantasy, Horror",7.9
570,Ajnabee,₹ 31.00,₹ 17.00,₹ 23.00,₹ 8.00,₹ 17.00,Average,"Action, Comedy, Crime",7.8
571,Selfiee,₹ 24.00,₹ 17.00,₹ 20.00,₹ 4.00,₹ 100.00,Disaster,"Action, Drama, Thriller",7.8
572,Aiyaary,₹ 30.00,₹ 17.00,₹ 21.00,₹ 8.00,₹ 65.00,Flop,"Drama, Music",7.8
573,Refugee,₹ 34.00,₹ 17.00,₹ 27.00,₹ 6.00,₹ 14.00,Average,Drama,7.8
574,Bombay Talkies,₹ 0.00,₹ 17.00,₹ 0.00,₹ 0.00,₹ 1.00,flop,"Action, Drama, History",7.8
575,Hero No. 1,₹ 30.00,₹ 17.00,₹ 30.00,₹ 0.00,₹ 6.00,SuperHit,"Comedy, Drama",7.8
576,Section 375,₹ 22.00,₹ 17.00,₹ 20.00,₹ 2.00,₹ 20.00,Below Average,"Biography, Drama, History",7.8
577,Bewafaa,₹ 30.00,₹ 16.00,₹ 22.00,₹ 7.00,₹ 18.00,Average,"Adventure, Comedy, Family",7.8
578,Hum Aapke Dil Mein Rehte Hain,₹ 36.00,₹ 16.00,₹ 28.00,₹ 7.00,₹ 6.00,SuperHit,"Action, Crime, Drama",7.8
579,Qarib Qarib Singlle,₹ 24.00,₹ 16.00,₹ 22.00,₹ 1.00,₹ 15.00,Average,"Animation, Action, Adventure",7.8
580,Yuvvraaj,₹ 28.00,₹ 16.00,₹ 22.00,₹ 6.00,₹ 45.00,Disaster,"Biography, Drama, Sport",7.8
581,Do Knot Disturb,₹ 27.00,₹ 16.00,₹ 22.00,₹ 5.00,₹ 28.00,Flop,Drama,7.8
582,Parineeta,₹ 30.00,₹ 16.00,₹ 22.00,₹ 7.00,₹ 16.00,Below Average,"Drama, History, War",7.8
583,Mumbai Saga,₹ 22.00,₹ 16.00,₹ 19.00,₹ 2.00,₹ 40.00,Flop,"Action, Adventure, ",7.8
